"","year","semi_final","semi_draw_position","final_draw_position","country","artist_name","song_name","language","style","gender","main_singers","final_televote_points","final_jury_points","final_televote_votes","final_jury_votes","final_place"
"118",2019,"1","2","-","Montenegro","D mol","Heaven","English","Pop","Mix",6,NA,NA,NA,NA,NA
"119",2019,"1","3","-","Finland","Darude feat. Sebastian Rejman","Look Away","English","Dance","Male",1,NA,NA,NA,NA,NA
"120",2019,"1","4","-","Poland","Tulia","Fire of Love","Polish, English","Traditional","Female",4,NA,NA,NA,NA,NA
"121",2019,"1","5","10","Slovenia","Zala Kralj & Gasper santl","Sebi","Slovene","Ballad","Mix",2,59,46,13,9,15
"122",2019,"1","6","3","Czech Republic","Lake Malawi","Friend of a Friend","English","Pop","Male",1,7,150,4,26,11
"123",2019,"1","7","-","Hungary","Joci Papai","Az en apam","Hungarian","Ballad","Male",1,NA,NA,NA,NA,NA
"124",2019,"1","8","19","Belarus","ZENA","Like It","English","Dance","Female",1,13,18,2,5,24
"125",2019,"1","9","23","Serbia","Nevena Bozovic","Kruna","Serbian","Ballad","Female",1,54,35,7,8,18
"126",2019,"1","10","-","Belgium","Eliot","Wake Up","English","Ballad","Male",1,NA,NA,NA,NA,NA
"127",2019,"1","11","-","Georgia","Oto Nemsadze","Keep on Going","Georgian","Traditional","Male",1,NA,NA,NA,NA,NA
"128",2019,"1","12","25","Australia","Kate Miller-Heidke","Zero Gravity","English","Opera","Female",1,131,153,30,24,9
"129",2019,"1","13","17","Iceland","Hatari","Hatrio mun sigra","Icelandic","Dance","Mix",2,186,46,34,9,10
"130",2019,"1","14","18","Estonia","Victor Crone","Storm","English","Pop","Male",1,48,28,10,7,20
"131",2019,"1","15","-","Portugal","Conan Osiris","TelemOveis","Portuguese","Traditional","Male",1,NA,NA,NA,NA,NA
"132",2019,"1","16","13","Greece","Katerine Duska","Better Love","English","Pop","Female",1,24,50,3,8,21
"133",2019,"1","17","7","San Marino","Serhat","Say Na Na Na","English","Dance","Male",1,65,12,11,3,19
"134",2019,"2","1","-","Armenia","Srbuk","Walking Out","English","Pop","Female",1,NA,NA,NA,NA,NA
"135",2019,"2","2","-","Ireland","Sarah McTernan","22","English","Pop","Female",1,NA,NA,NA,NA,NA
"136",2019,"2","3","-","Moldova","Anna Odobescu","Stay","English","Ballad","Female",1,NA,NA,NA,NA,NA
"137",2019,"2","4","24","Switzerland","Luca Hanni","She Got Me","English","Dance","Male",1,212,152,38,28,4
"138",2019,"2","5","-","Latvia","Carousel","That Night","English","Pop","Female",1,NA,NA,NA,NA,NA
"139",2019,"2","6","-","Romania","Ester Peony","On a Sunday","English","Pop","Female",1,NA,NA,NA,NA,NA
"140",2019,"2","7","6","Denmark","Leonora","Love Is Forever","English, French","Pop","Female",1,51,69,13,16,12
"141",2019,"2","8","9","Sweden","John Lundvik","Too Late for Love","English","Ballad","Male",1,93,241,17,32,5
"142",2019,"2","9","-","Austria","PAENDA","Limits","English","Ballad","Female",1,NA,NA,NA,NA,NA
"143",2019,"2","10","-","Croatia","Roko","The Dream","English, Croatian","Ballad","Male",1,NA,NA,NA,NA,NA
"144",2019,"2","11","1","Malta","Michela","Chameleon","English","Pop","Female",1,20,87,4,19,14
"145",2019,"2","12","-","Lithuania","Jurij Veklenko","Run with the Lions","English","Pop","Male",1,NA,NA,NA,NA,NA
"146",2019,"2","13","5","Russia","Sergey Lazarev","Scream","English","Ballad","Male",1,244,126,30,24,3
"147",2019,"2","14","2","Albania","Jonida Maliqi","Ktheju tokes","Albanian","Traditional","Female",1,47,43,6,10,17
"148",2019,"2","15","15","Norway","KEiiNO","Spirit in the Sky","English","Dance","Mix",3,291,40,37,9,6
"149",2019,"2","16","12","Netherlands","Duncan Laurence","Arcade","English","Ballad","Male",1,261,237,40,32,1
"150",2019,"2","17","8","North Macedonia","Tamara Todevska","Proud","English","Ballad","Female",1,58,247,11,32,7
"151",2019,"2","18","20","Azerbaijan","Chingiz","Truth","English","Pop","Male",1,100,202,26,33,8
"152",2019,"-","-","4","Germany","S!sters","Sister","English","Ballad","Female",2,0,24,0,5,25
"153",2019,"-","-","14","Israel","Kobi Marimi","Home","English","Ballad","Male",1,35,0,7,0,23
"154",2019,"-","-","16","United Kingdom","Michael Rice","Bigger than Us","English","Ballad","Male",1,3,8,1,5,26
"155",2019,"-","-","21","France","Bilal Hassani","Roi","French, English","Pop","Female",1,38,67,12,18,16
"156",2019,"-","-","22","Italy","Mahmood","Soldi","Italian","Pop","Male",1,253,219,38,32,2
